Abington Jefferson Health,,,,
Abington Lansdale Hospital,,,,
FY18 Charges by DRG,,,,
,,,,
,,,,
MSDRG,Description,Cases,Charges,Avg Charge
4,TRACH W MV >96 HRS OR PDX EXC FACE MOUTH  NECK W/O MAJ O.R.,4,"1,243,032","310,758"
38,EXTRACRANIAL PROCEDURES W CC,1,"131,656","131,656"
41,PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,1,"62,903","62,903"
54,NERVOUS SYSTEM NEOPLASMS W MCC,1,"18,827","18,827"
55,NERVOUS SYSTEM NEOPLASMS W/O MCC,1,"11,464","11,464"
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,5,"148,889","29,778"
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,12,"405,128","33,761"
58,MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W MCC,1,"31,598","31,598"
60,MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W/O CC/MCC,4,"85,330","21,333"
61,ISCHEMIC STROKE PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC,2,"195,631","97,815"
62,ISCHEMIC STROKE PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC,6,"409,533","68,256"
63,ISCHEMIC STROKE PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC,3,"183,551","61,184"
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,42,"1,715,910","40,855"
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,65,"2,129,257","32,758"
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,30,"860,335","28,678"
68,NONSPECIFIC CVA  PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,4,"112,899","28,225"
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,47,"1,211,106","25,768"
70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,6,"178,851","29,808"
71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,18,"536,015","29,779"
72,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,4,"98,077","24,519"
73,CRANIAL  PERIPHERAL NERVE DISORDERS W MCC,3,"94,966","31,655"
74,CRANIAL  PERIPHERAL NERVE DISORDERS W/O MCC,15,"333,517","22,234"
75,VIRAL MENINGITIS W CC/MCC,1,"35,211","35,211"
76,VIRAL MENINGITIS W/O CC/MCC,2,"50,040","25,020"
78,HYPERTENSIVE ENCEPHALOPATHY W CC,2,"64,217","32,108"
79, HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,1,"22,759","22,759"
80,NONTRAUMATIC STUPOR  COMA W MCC,1,"66,552","66,552"
86,TRAUMATIC STUPOR  COMA COMA <1 HR W CC,1,"34,843","34,843"
87,TRAUMATIC STUPOR  COMA COMA <1 HR W/O CC/MCC,1,"14,656","14,656"
91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,13,"558,228","42,941"
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,20,"455,460","22,773"
93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,10,"211,925","21,192"
94,BACTERIAL  TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,2,"142,997","71,499"
97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,1,"55,100","55,100"
98,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,2,"86,833","43,417"
99,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,2,"115,669","57,835"
100,SEIZURES W MCC,23,"1,034,263","44,968"
101,SEIZURES W/O MCC,19,"377,613","19,874"
102,HEADACHES W MCC,2,"46,627","23,314"
103,HEADACHES W/O MCC,12,"318,217","26,518"
123,NEUROLOGICAL EYE DISORDERS,2,"43,597","21,798"
125,OTHER DISORDERS OF THE EYE W/O MCC,4,"65,999","16,500"
133,OTHER EAR NOSE MOUTH  THROAT O.R. PROCEDURES W CC/MCC,1,"45,401","45,401"
134,OTHER EAR NOSE MOUTH  THROAT O.R. PROCEDURES W/O CC/MCC,1,"13,015","13,015"
149,DYSEQUILIBRIUM,26,"516,530","19,867"
151,EPISTAXIS W/O MCC,1,"10,721","10,721"
152,OTITIS MEDIA  URI W MCC,3,"68,232","22,744"
153,OTITIS MEDIA  URI W/O MCC,14,"189,789","13,556"
155,OTHER EAR NOSE MOUTH  THROAT DIAGNOSES W CC,2,"60,340","30,170"
156,OTHER EAR NOSE MOUTH  THROAT DIAGNOSES W/O CC/MCC,3,"56,919","18,973"
157,DENTAL  ORAL DISEASES W MCC,1,"20,134","20,134"
158,DENTAL  ORAL DISEASES W CC,4,"73,004","18,251"
159,DENTAL  ORAL DISEASES W/O CC/MCC,2,"17,559","8,780"
163,MAJOR CHEST PROCEDURES W MCC,1,"60,293","60,293"
165,MAJOR CHEST PROCEDURES W/O CC/MCC,1,"50,534","50,534"
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,13,"1,122,961","86,382"
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,6,"294,336","49,056"
168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,1,"39,902","39,902"
175,PULMONARY EMBOLISM W MCC,22,"971,178","44,144"
176,PULMONARY EMBOLISM W/O MCC,28,"471,371","16,835"
177,RESPIRATORY INFECTIONS  INFLAMMATIONS W MCC,55,"1,861,582","33,847"
178,RESPIRATORY INFECTIONS  INFLAMMATIONS W CC,15,"318,474","21,232"
179,RESPIRATORY INFECTIONS  INFLAMMATIONS W/O CC/MCC,6,"138,443","23,074"
180,RESPIRATORY NEOPLASMS W MCC,5,"173,330","34,666"
181,RESPIRATORY NEOPLASMS W CC,3,"71,408","23,803"
182,RESPIRATORY NEOPLASMS W/O CC/MCC,1,"11,300","11,300"
184,MAJOR CHEST TRAUMA W CC,6,"139,815","23,302"
185,MAJOR CHEST TRAUMA W/O CC/MCC,1,"18,259","18,259"
186,PLEURAL EFFUSION W MCC,7,"230,767","32,967"
187,PLEURAL EFFUSION W CC,6,"98,163","16,361"
189,PULMONARY EDEMA  RESPIRATORY FAILURE,57,"1,990,211","34,916"
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,91,"2,505,619","27,534"
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,41,"755,962","18,438"
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,18,"361,402","20,078"
193,SIMPLE PNEUMONIA  PLEURISY W MCC,113,"3,132,984","27,726"
194,SIMPLE PNEUMONIA  PLEURISY W CC,115,"2,343,687","20,380"
195,SIMPLE PNEUMONIA  PLEURISY W/O CC/MCC,41,"677,958","16,536"
196,INTERSTITIAL LUNG DISEASE W MCC,2,"41,191","20,596"
197,INTERSTITIAL LUNG DISEASE W CC,2,"35,609","17,804"
198,INTERSTITIAL LUNG DISEASE W/O CC/MCC,1,"28,948","28,948"
199,PNEUMOTHORAX W MCC,2,"76,562","38,281"
200,PNEUMOTHORAX W CC,5,"94,929","18,986"
201,PNEUMOTHORAX W/O CC/MCC,5,"122,776","24,555"
202,BRONCHITIS  ASTHMA W CC/MCC,71,"1,446,368","20,371"
203,BRONCHITIS  ASTHMA W/O CC/MCC,24,"423,559","17,648"
204,RESPIRATORY SIGNS  SYMPTOMS,9,"153,318","17,035"
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,1,"20,908","20,908"
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,6,"108,276","18,046"
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),7,"799,789","114,256"
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,26,"1,845,715","70,989"
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB  TOE W MCC,2,"194,982","97,491"
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB  TOE W CC,3,"203,076","67,692"
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,5,"263,836","52,767"
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,1,"34,882","34,882"
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,2,"80,639","40,320"
252,OTHER VASCULAR PROCEDURES W MCC,5,"239,078","47,816"
253,OTHER VASCULAR PROCEDURES W CC,2,"54,824","27,412"
255,UPPER LIMB  TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,2,"103,600","51,800"
256,UPPER LIMB  TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,1,"50,719","50,719"
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,4,"225,374","56,343"
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,1,"16,028","16,028"
280,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,42,"1,604,214","38,196"
281,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,35,"798,978","22,828"
282,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,31,"452,918","14,610"
