 Item Description,Charge Amount
"""HIP LINER ALUMINA BIOLOX CERAMIC 32MM +3.5MM,12/14""",1401.48
"""MICROCATH RENEGADE STC 150CM, 30CM""",1795.5
"""RENEGADE STC MICROCATH 130CM, 30CM""",1795.5
"""STENT 6MM DIA X 100MM LENGTH, 125CM OTW, ZILVER PTX DRUG-ELUTING PERIPHERAL STENT, 0.035IN MAX GUIDEWIRE ZISV6-35-125-6-100-PTX""",4487.5
"""STENT 6MM DIA X 120MM LENGTH, 125CM OTW, ZILVER PTX DRUG-ELUTING  ZISV6-35-125-6-120-PTX""",4987.5
"""STENT 7MM DIA X 100MM LENGTH, 125CM OTW, ZILVER PTX DRUG-ELUTING  ZISV6-35-125-7-100-PTX""",4487.5
"""STENT 7MM DIA X 60MM LENGTH, 125CM OTW, ZILVER PTX DRUG-ELUTING  ZISV6-35-125-7-60-PTX""",3737.5
"""STENT SMART FLEX 6X120 BILIARY, SELF-EXPANDING STENT, 120CM""",2000
"""T-PIN C 3MM DIA, 45MM LG""",725
0.9% SODIUM CHLORIDE TRIPLE BAGGED FOR SLUSH,388.63
13.5FR X 24CM WITH CURVED EXTE,317.6
18 30 SNARE,1440
20 FR PEELAWAY buyer,405
3.0 X 40 CHOCOLATE 150 CM LENGTH,3825
36MM COCR MOD HS +9MM,3185
5 X 80 CHOCOLATE 120 CM LENGTH,3825
ABLATION SINCH SZ 9,16875
ABSTACK FIXATION DEVICE 15 TACK 6 PER BOX,7948.5
ABSTACK FIXATION DEVICE 30 TACK,1081.2
ACCESS NEUROVISION 1 PASS III PEDICLE,1125
ACCESS PORT 12MM,383.55
ACCESS PORT 5MM,375.44
ACCESS PORT 5MM SHORT,358.06
ACCESSORY KIT,337.5
ACCESSORY KIT,13950
ACCESSORY KIT FOR TUNNELING,630
ACCUMAX 1000 HOLMIUM LASER FIBER,2812.5
ACCUMAX 200 HOLMIUM LASER FIBER,1345.5
ACCUMAX 200 HOLMIUM LASER FIBER (SINGLE BOX),1480.5
ACCUMAX 365 HOLMIUM LASER FIBER,1237.5
ACCUMAX 550 HOLMIUM LASER FIBER,1687.5
ACCUPASS 45 DEGREE RIGHT,608.54
ACCU-PASS DIRECT CRESCENT XL,1575
ACCU-PASS SUTURE SHUTTLE 70 DEGREE,600.08
ACCURUS TOTAL PLUS 25G  KIT ONLY,2610
ACCUTRAC 200 HOLMIUM LASER FIBER BALL TIP,2073.38
ACCU-VU PIGTAIL FLUSH CATH 5FR X 70CM,375
ACCU-VU PIGTAIL FLUSH CATH 5FR X 70CM 0.035 25CM SEGMENT,286.86
ACL KIT  DISPOSABLE,2925
ACL TIGHTROPE RT,875
ACP KIT,787.5
ACP KIT SERIES II DISPOSIBLE BIOLOGIC SYRINGE,1125
ACTIFUSE ABX PUTTY 1.5ML,763.88
