FIM DESCRIPTION,LH PRICE
11 DEOXYCORTISOL SERUM,61.05
14-3-3 ETA PROTEIN,48.04
17 HYDROXYPREGNENOLONE,200.18
17 KETOSTER W/CREAT 1OF2,50.54
17 KETOSTER W/CREAT 2OF2,20.27
3D RENDER W/INTRP POSTPROCES,400
3D RENDER W/INTRP POSTPROCES,400
3D RENDER W/INTRP POSTPROCES W,400
3D RENDER W/INTRP POSTPROCES WO,400
3HR GLUC-2OF2,7.51
6 MINUTE WALK PERFRM TEST,1000
6 MINUTE WALK TEST,280
ABBREV <6 YEARS PSM,6118
ABBREV <6 YEARS PSM,6118
ABBREV <6 YEARS PSMC/CPAP BIPAP,5100
ABBREV <6 YEARS PSMC/CPAP BIPAP,5100
ABBREV >6 YEARS PSM,6118
ABBREV >6 YEARS PSM,6118
ABBREV >6 YEARS PSM C/CPAP BIPAP,5100
ABBREV >6 YEARS PSMC/CPAP BIPAP,5100
ABD OBSTRUCTION W/CHEST,777
ABDOMEN - 1 VIEW,282
ABDOMEN 1 VIEW PORTABLE,282
ABDOMEN 2 VIEWS,1012
ABG W/ CALCULATED O2 SAT,892
ABO 1 0F 2,83.81
ABO TYPE ARC,83.81
ABSCESS IMAGING SPECT,7414
ABSCESS IMAGING-LIMITED,2378
ABSCESS IMAGING-WHOLE BOD,2818
ACCUTYPE IL28B,175
ACETAMINOPHEN-SERUM,200
ACETONE KETONE QUAL,18.27
ACETYCHOLINE BLOCKING ABS,48.79
ACETYCHOLINE MODULATING ABS,48.79
ACETYCHOLINESTERASE,33.6
ACETYLCHOLINE RECP AB,48.79
ACID FAST CULT&SMEAR 1OF3,26.02
ACID FAST CULT&SMEAR 2OF3,15.26
ACID FAST SMEAR,15.26
ACROMIOCLAVICULAR JOINTS BIL,774
ACTH,150.63
ACTIN ABS,37.53
ACTIVATED PROTEIN C RESISTANCE,75.6
ACUTE GI BLEED STUDY,3065
ACUTE HEPATITIS PANEL,164.9
ACYLCARNITINES QUAL EA SPECIMEN,48.81
