Generic Item Name,National Drug Code, Charge 
 AquADEKs - Multivitamin Liquid (SCN),58914021460,$1.44 
abacavir 300 mg TAB (Ziagen),65862007360,$30.73 
abciximab 2 mg/mL SOLN (Reopro),2714001,$578.07 
abiraterone 250 mg TAB (Zytiga (NF),57894015012,$276.62 
ACARBOSE 25 mg TAB (Precose(EQV)),16252052301,$2.26 
ACARBOSE 50 mg TAB (Precose (EQV)),16252052401,$2.48 
ACEBUTOLOL 200 mg  CAP (Sectral (EQV)),65162066910,$1.18 
acetaminophen 10 mg/mL INJ SOLN,43825010201,$0.50 
ACETAMINOPHEN 120 mg SUPP (Tylenol (EQV)),713011801,$0.27 
ACETAMINOPHEN 160 mg/5 mL LIQ (Tylenol (EQV)),50383009904,$0.04 
acetaminophen 160 mg/5 mL UD LIQ ,121065705,$2.00 
ACETAMINOPHEN 325 mg SUPP (Tylenol (EQV)),713016401,$2.00 
ACETAMINOPHEN 325 mg TAB (Tylenol (EQV)),63739044001,$2.00 
acetaminophen 325mg/10ml UD LIQ,121065722,$0.19 
acetaminophen 40 mg/1.25 mL (SCN/PEDS) LIQ,52959030904,$0.45 
Acetaminophen 40 mg/1.25 mL UD Liquid ,50580031810,$0.45 
ACETAMINOPHEN 500 mg TAB (Tylenol (EQV)),904200160,$2.00 
ACETAMINOPHEN 650 mg SUPP (Tylenol (EQV)),713016501,$2.00 
acetaminophen 650mg/20ml UD LIQ,66689005699,$2.00 
ACETAMINOPHEN 80 mg SUPP (Tylenol (EQV)),472120006,$2.00 
ACETAMINOPHEN 80 MG TAB CHEWABLE (Tylenol (EQV)),904197446,$2.00 
acetaminophen 80 mg/2.5 mL UD Liq,68094058358,$1.03 
ACETAMINOPHEN-CODEINE 300 mg-30 mg TAB (Tylenol w. Codeine (EQV)),68084037201,$1.00 
ACETAMINOPHEN-CODEINE 300 mg-30 mg/12.5 mL LIQ (Tylenol w Codeine(EQV)),50383007916,$0.09 
acetaminophen-HYDROcodone 100 mg-3.33 mg/5 mL LIQ,95909016,$1.67 
acetaminophen-HYDROcodone 167 mg-2.5 mg/5 mL ELIX (Lortab Liq (EQV)),121465505,$13.32 
acetaminophen-HYDROcodone 325 mg-5 mg TAB (Lortab (EQV)),68084036801,$1.44 
acetaminophen-HYDROcodone 325 mg-7.5 mg/15 mL U/D LIQ,66689002350,$0.63 
acetaminophen-oxycodone 325 mg-5 mg TAB (Percocet-5 (EQV)),68084035501,$1.00 
acetaminophen-oxycodone 325 mg-5 mg/5 mL Oral Sol (Roxicet (EQV)),54864816,$1.33 
acetaZOLAMIDE 100 mg/ml (PED) Inj,39822019001,$88.97 
acetaZOLAMIDE 250 mg TAB (Diamox (EQV)),68084054101,$14.48 
acetaZOLAMIDE 500 mg ER CAP (Diamox (EQV)),68084040121,$17.62 
acetaZOLAMIDE 500 mg PWDI (Diamox (EQV)),39822019007,$104.18 
ACETIC ACID IRRIGATION 0.25% SOLN,338065604,$0.09 
ACETIC ACID OTIC 2% SOLN (VoSol (EQV)),50383088915,$9.16 
ACETIC ACID topical 5% SOLN 1000 mL,49452004701,$0.45 
ACETIC ACID topical 6% SOLN,49452004711,$0.05 
ACETIC ACID-ALUMINUM ACETATE OTIC 2%-0.79% SOLN,24208061577,$4.71 
ACETYLCHOLINE OPH. 1% PWDR (Miochol (EQV)),24208053920,$407.34 
acetylcysteine 1% (10 mg/mL) (PEDS) Maint. INJ,574080530,$15.57 
acetylcysteine 10% 10 mL SOLN (Mucomyst EQV),54302702,$2.39 
acetylcysteine 10% 4 mL SOLN (Mucomyst EQV)),517750412,$5.26 
acetylcysteine 20% (800mg/4mL) SOLN (Mucomyst),517760425,$6.65 
acetylcysteine 20% 30ml SOLN (Mucomyst(EQV)),517763003,$1.75 
acetylcysteine 20% Soln 10mL (Mucomyst),54302802,$2.99 
acetylcysteine 3% (30 mg/mL) (PEDS) Load INJ,63323069310,$15.08 
acetylcysteine 6 gm/30 mL INJ (Acetadote),66220010730,$24.93 
acetylcysteine 600 mg  CAP,53191019401,$0.90 
acyclovir 200 mg CAP (Zovirax (EQV)),68084010701,$1.44 
acyclovir 200 mg/5 mL SUSP (Zovirax (EQV)),472008216,$3.69 
acyclovir 50 mg/mL SOLN (Zovirax (EQV)),63323032510,$9.33 
acyclovir 6 mg/mL (SCN/PEDS) INJ,1000001,$9.00 
acyclovir 800 mg TAB (Zovirax (EQV)),31722077801,$1.50 
Acyclovir Inj 7 mg/ml (SCN/PEDS) INJ,63323032599,$4.50 
adalimumab 40 mg/0.8 mL KIT (Humira),74379902, $-   
adefovir 10 mg TAB (Hepsera (NF)),61958050101,$165.63 
adenosine 3 mg/mL 2 mL SOLN (Adenocard (EQV)),17478054202,$14.76 
adenosine 3 mg/mL INJ (Adenocard Diagnostic),469087130,$58.33 
adenosine 300 mcg/mL (SCN/PEDS) INJ,55390006710,$4.50 
ado-trastuzumab emtansine 20 mg/mL (Kadcyla)  INJ,50242008801,"$2,497.50 "
AL HYDROX./MG HYDROX./SIMETHICONE 400 mg-400 mg-40 mg/5 mL SUSP (Mylanta/Maalox Plus (EQV)),536002583,$0.03 
AL HYDROXIDE/mg HYDROXIDE/SIMETHICONE 200 mg-200 mg-20 mg/5 mL SUSP (148) ml),67033062,$0.06 
albumin human 25% 50 mL SOLN,53768032,$3.60 
albumin human 5% 250 mL SOLN,944049101,$0.72 
albumin human 5% 50 mL SOLN,13533068520,$3.15 
albuterol 0.5%  (2.5mg/0.5 mL) INHALATION SOLN ,487990130,$13.50 
albuterol 0.5%  (2.5mg/0.5ml) INHALATION SOLN 20ml,50383074120,$0.39 
albuterol 2 mg/5 mL SYR (Proventil (EQV)),472082516,$0.26 
albuterol 2.5 mg/3 mL (0.083%) INHALATION SOLN,487950101,$0.49 
albuterol 4 mg TAB (Proventil (EQV)),68084095221,$27.43 
albuterol 90 mcg/inh INHALER,59310057920,$22.23 
albuterol-ipratropium 110 mcg-20 mcg/inhaler MDI (Combivent-RESPIMAT),597001314,$69.44 
albuterol-ipratropium 2.5 mg-0.5 mg/3 mL INHALATION SOLN (Duoneb (EQV)),487020101,$3.04 
ALDESLEUKIN (NF) 18000000 intl units/mL PWDI (Proleukin),78049561,"$4,505.90 "
alemtuzumab 10 mg/mL (LEMTRADA (EQV)) SOLN,58468020001,"$79,760.00 "
ALENDRONATE 10 mg TAB (Fosamax (EQV)),16714063101,$1.63 
ALENDRONATE 70 mg TAB (Fosamax (EQV)),16714063301,$2.03 
aliskiren 150 mg TAB (Tekturna (NF)),78048535,$17.14 
aliskiren 300 mg TAB (Tekturna (NF)),78048635,$21.62 
ALLOPURINOL 100 MG TAB (Zyloprim (EQV)),62584098801,$1.00 
ALLOPURINOL 150 mg (1/2 of 300 mg) TAB,904261461,$1.00 
ALLOPURINOL 300 mg TAB (Zyloprim (EQV)),16714004210,$2.82 
ALLOPURINOL 50 mg (1/2 of 100 mg) TAB,60505251602,$1.00 
ALPRAZolam 0.25 mg TAB (Xanax (EQV)),68084064701,$1.00 
ALPRAZolam 0.5 mg TAB (Xanax (EQV)),68084001901,$1.00 
ALPRAZolam 1 mg TAB (Xanax (EQV)),51079079020,$1.00 
ALPROSTADIL 0.5 mg/mL INJ (Prostin VR (EQV)),703150102,$128.25 
alprostadil 10 mcg/mL 10 mL (SCN) Infusion,9346999,$4.50 
alprostadil 10 mcg/mL 3 mL (SCN) Infusion,9316998,$13.50 
ALPROSTADIL 15 mcg/ mL 3 mL (SCN) Infusion,20000000010,$4.50 
ALPROSTADIL 15 mcg/mL 10 mL (SCN) Infusion,20000000020,$4.50 
alprostadil 20 mcg PWDI,9370105,$415.76 
alteplase 100 mg INJ (Activase),50242008527,$240.08 
alteplase 2 mg PWDI (Activase),50242004164,$612.32 
alteplase 50 mg INJ (Activase),50242004413,$240.08 
ALUMINUM HYDROXIDE Suspension,121023430,$0.05 
aluminum hydroxide-magnesium hydroxide 200 mg-200 mg/5 mL SUSP,121176030,$0.09 
ALUMINUM sulfate-CALCIUM acetate TOPICAL - POWDER (Domeboro EQV),16500002322,$2.52 
AMANTADINE 100 MG CAP (Symmetrel (EQV)),62332024631,$4.00 
AMANTADINE 100 mg/10 mL SYRUP (Symmetrel (EQV)),121064610,$1.05 
amikacin 10 mg/mL (SCN/PEDS) INJ,23155029041,$25.20 
AMIKACIN 250 mg/mL SOLN,55390022402,$168.21 
AMIKACIN 400 mcg/mL IntraVitreal 10 mL,55390022502,$3.38 
aMILoride 5 mg TAB,50268007115,$1.00 
AmiloRIDE-HCTZ 2.5 mg-25 mg (1/2 of 5 mg-50 mg) TAB,555048302,$1.83 
AmiloRIDE-Hydrochlorothiazide 5 mg-50 mg TAB (Moduretic (EQV)),378057701,$1.76 
AMINO ACIDS 10% (Aminosyn II) Inj,409712107,$0.09 
Amino Acids 2.5% w/ Heparin 50 units (SCN),264193610,$0.45 
Amino Acids 3% and Glycerin 3% with Electrolytes (ProcalAmine) SOLN,264191500,$0.14 
amino acids 50 gm/1000 mL,9999999957,$540.00 
aminocaproic acid 20 mg/mL (SCN/PEDS) 10 mL infusion,517912025,$1.07 
aminocaproic acid 20 mg/mL (SCN/PEDS) 3 mL infusion,409434610,$1.12 
AMINOCAPROIC ACID 250 mg/mL INJ (Amicar (EQV),409434673,$1.23 
AMINOCAPROIC ACID 250 mg/ml SYRUP (Amicar (EQV),61748004416,$12.68 
AMINOCAPROIC ACID 500 mg TAB (Amicar (EQV),61748004501,$22.77 
AMINOPHYLLINE 250 mg/10 mL INJ,409592101,$4.69 
amiodarone 100 mg TAB (1/2 of 200 mg),245014401,$28.17 
amiodarone 150 mg/3mL INJ (Cordarone (EQV)),63323061603,$2.33 
amiodarone 200 mg TAB (Cordarone (EQV)),68084037101,$2.18 
amiodarone 450 mg/250ml D5W INJ,67457015309,$0.36 
amiodarone 50 mg (1/2 of 100 mg) TAB,68084037199,$1.13 
amiodarone infusion 2000 mcg/mL (SCN) 3 mL in D5W,90099990009,$4.50 
amiodarone infusion 2000 mcg/mL (SCN) 10 mL in D5W,143987510,$2.25 
AMITRIPTYLINE 10 mg TAB (Elavil (EQV)),378261001,$1.00 
AMITRIPTYLINE 100 mg TAB (ELAVIL (EQV)),51079056320,$5.61 
AMITRIPTYLINE 150 mg TAB (ELAVIL (EQV)),16714045101,$8.41 
AMITRIPTYLINE 25 mg TAB (ELAVIL (EQV)),904020160,$1.00 
AMITRIPTYLINE 50 mg TAB (ELAVIL (EQV)),904020261,$3.61 
AMITRIPTYLINE 75 mg TAB (ELAVIL (EQV)),51079014720,$4.21 
AMITRIPTYLINE-PERPHENAZINE 10 mg-2 mg TAB (Triavil (EQV)),378033001,$5.18 
AMITRIPTYLINE-PERPHENAZINE 25 mg-2 mg TAB (Triavil (EQV)),378044201,$6.60 
AMITRIPTYLINE-PERPHENAZINE 25 mg-4 mg TAB (Triavil (EQV)),378057401,$7.19 
amLODIPine 1.25 mg (1/2 of 2.5 mg) TAB,51079045020,$1.00 
amLODIPine 2.5 mg TAB (Norvasc (EQV)),69152068,$4.50 
amLODIPine 5 mg TAB (Norvasc (EQV)),68084023801,$1.00 
AMMONIA AROMATIC INHALANT,39822990001,$2.03 
AMMONIUM LACTATE TOPICAL 12% LOTION (LacHydrin (EQV)),45802052526,$0.09 
AMOXAPINE 12.5 mg (1/2 of 25 mg) TAB,536300301,$1.09 
AMOXAPINE 25 mg TAB (Asendin (EQV)),591571301,$2.30 
AMOXICILLIN 250 mg CAP (Amoxil (EQV)),65862001605,$0.24 
AMOXICILLIN 250 mg Tab Chewable,93226801,$1.35 
AMOXICILLIN 250 mg/5 mL Oral Susp (Amoxil (EQV)),781604146,$0.18 
amoxicillin 500 mg CAP (Amoxil (EQV)),65862001701,$0.47 
amoxicillin-clavulanate 125 mg-31.25 mg/5 mL SUSP(Augmentin(Eqv))  ,29608539,$1.98 
amoxicillin-clavulanate 250 mg-125 mg TAB (Augmentin (EQV)),16714029501,$23.28 
amoxicillin-clavulanate 250-62.5 mg/5mL Oral Susp. (Augmentin (EQV)),60432006575,$3.39 
amoxicillin-clavulanate 400 mg-57 mg/5 mL Susp. (Augmentin (EQV)),93227973,$2.69 
amoxicillin-clavulanate 875 mg-125 mg TAB (Augmentin (EQV)),68084023601,$10.27 
AMPHETAMINE MIXTURE (NF) 10 mg TAB (Adderall (EQV)),57844011001,$21.10 
AMPHOTERICIN  B 50 mg PWDI (Fungizone (EQV)),39822105505,$186.39 
Amphotericin B 0.1 mg/ml (PED) INJ,39822105599,$4.50 
AMPHOTERICIN B 0.5 mg/mL (SCN)  INJ,10000000002,$9.00 
Amphotericin B Lipid Complex 2 mg/ml (SCN/PEDS) INJ,57665010199,$4.50 
AMPHOTERICIN B LIPID COMPLEX 5 mg/mL SUSP (Abelcet (EQV)),57665010141,$41.63 
amphotericin B liposomal 50 mg PWDI,469305130,$711.00 
AMPICILLIN 1 gm PWDI,63323038910,$31.86 
AMPICILLIN 1 gm/100 ml NS Add-Ease,15740489,$42.90 
AMPICILLIN 2 gm PWDI,63323039923,$61.07 
AMPICILLIN 2 gm/100 ml NS Add Ease,55150011420,$35.25 
AMPICILLIN 250 mg CAP,781214401,$0.57 
AMPICILLIN 250 mg PWDI,15740299,$16.57 
AMPICILLIN 250 mg/5 mL Oral Suspension,67253018310,$0.23 
AMPICILLIN 250 mg/mL (SCN/PEDS) IM USE,781340295,$22.50 
AMPICILLIN 50 mg/mL (SCN) INJ,10000000003,$4.50 
AMPICILLIN 500 mg /100 mL NS AddEase,15740320,$18.24 
AMPICILLIN 500 mg CAP,781214501,$0.97 
ampicillin-sulbactam (PEDS) inj,409268911,$0.90 
ampicillin-sulbactam 1.5 gm (Unasyn (EQV)),10139007011,$31.01 
ampicillin-sulbactam 1.5 gm/100 mL NS (Unasyn (EQV))Add-Ease,63323036820,$67.50 
ampicillin-sulbactam 3 gm (Unasyn (EQV)),409299803,$24.56 
ampicillin-sulbactam 3 gm/100 mL NS (Unasyn(EQV))Add-Ease,63323036920,$78.98 
anagrelide 0.5 mg CAP (Agrylin (NF)),172524160,$3.75 
anagrelide 1 mg CAP (Agrylin (NF)),172524060,$8.06 
ANASTROZOLE 1 mg TAB (Arimidex),16729003510,$2.57 
anidulafungin 100 mg PWDI,49011528,$302.49 
anidulafungin 50 mg PWDI,49011428,$151.25 
ANTIHEMOPHILIC  factor-von Willebrand factor - PWDI(Factor 8 w/ vwf),53760501,$3.96 
ANTIHEMOPHILIC FACTOR 8 human PWDI (Helixate (EQV)),944293501,$5.40 
antihemophilic factor recombinant PWDI,944284110,$5.04 
ANTIPYRINE-BENZOCAINE OTIC 54 mg-14 mg/mL SOLN (Auralgan (EQV)),45802031156,$0.78 
antithrombin III (Thrombate III) Injection,13533060320,$14.67 
antithrombin III Injection (ATryn),42976021101,$13.91 
APAP/butalbital/caffeine 325 mg-50 mg-40 mg TAB (Fioricet (EQV)),68084039601,$1.00 
apixaBAN 2.5 mg (Eliquis (EQV)) TAB,3089321,$27.00 
apixaBAN 5 mg (Eliquis (EQV)) TAB,3089421,$27.00 
APREPITANT 125 mg CAP (Emend),6046206,"$1,273.55 "
APREPITANT 80 mg CAP (Emend),6046106,$815.04 
ARGATROBAN 1 mg/mL Premix,781331491,$15.12 
ARGATROBAN 100 mg/mL SOLN,7440701,"$2,364.30 "
ARGININE 10% SOLN 30 gm/300 ml (R-Gene),9043624,$0.41 
ARIPiprazole  5 mg TAB  (Abilify),59148000735,$133.79 
ARIPiprazole 1 mg (1/2 of 2 mg) TAB,59148000613,$133.79 
ARIPiprazole 1 mg/mL ORAL SOLN,59148001215,$10.49 
ARIPiprazole 10 mg TAB  (Abilify),59148000835,$133.79 
ARIPiprazole 15 mg TAB (Abilify),59148000935,$133.79 
ARIPiprazole 2 mg TAB  (Abilify),59148000635,$54.04 
ARIPiprazole 2.5 mg (1/2 of 5 mg) TAB,59148000713,$55.35 
ARIPiprazole 20 mg TAB  (Abilify),59148001035,$189.20 
ARIPiprazole 30 mg TAB  (Abilify),59148001135,$189.20 
ARSENIC TRIOXIDE 1 mg/mL SOLN (Trisenox),60553011110,$218.70 
ARTIFICIAL TEARS DROPS (Ocular Lubricant Drops),904632946,$1.32 
ASCORBIC ACID 250 mg TAB (Vitamin C),904052260,$1.00 
ASCORBIC ACID 500 mg TAB (Vitamin C),10135016513,$1.00 
ASCORBIC ACID 500 mg/5 mL Oral Syrup,536016097,$0.36 
ASCORBIC ACID 500 mg/mL INJ,409311831,$7.56 
asenapine 5 mg TAB (Saphris (NF)),52011890,$51.72 
ASPARAGINASE 10000 units/2 mL INJ (Elspar) IM Use,67386041151,$274.10 
ASPARAGINASE 10000 units/5 mL INJ (Elspar),67386041199,$274.10 
ASPARTATE-GLUTAMATE inj,40000400301,$6.30 
ASPIRIN 162 mg TAB EC,55505010213,$2.00 
ASPIRIN 300 mg SUPP,574703412,$2.00 
ASPIRIN 325 mg TAB EC (Ecotrin EQV)),63739002303,$2.00 
ASPIRIN 600 mg SUPP,574703612,$2.00 
ASPIRIN 81 mg TAB CHEWABLE,904404073,$2.00 
ASPIRIN 81 mg TAB EC,904770460,$2.00 
ASPIRIN/BUTALBITAL/CAFFEINE 325 mg-50 mg-40 mg CAP (Fiorinal (EQV)),527155201,$5.37 
ASPIRIN-DIPYRIDAMOLE 25 mg-200 mg CAP SR (AGGRENOX (EQV)),597000160,$34.85 
atazanavir 200 mg CAP(Reyataz),3363112,$88.93 
atazanavir 300 mg CAP (Reyataz (NF)),3362212,$205.11 
atenolol 12.5 mg (1/2 of 25 mg) TAB,93078701,$1.00 
atenolol 25 mg TAB (Tenormin (EQV)),378021801,$1.00 
atenolol 50 mg TAB (Tenormin (EQV)),63304062201,$1.00 
atenolol 6.25 mg (1/4 of 25mg),904539288,$0.27 
atezolizumab 1200 mg/20 mL SOLN (TECENTRIQ (EQV)),50242091701,"$38,790.00 "
ATORVASTATIN 10 mg TAB (Lipitor (EQV)),68084056401,$2.67 
ATORVASTATIN 20 mg TAB (Lipitor (EQV)),68084056501,$3.64 
ATORVASTATIN 40 mg TAB (Lipitor (EQV)),68084058901,$3.68 
ATORVASTATIN 5 mg(1/2 of 10 mg) TAB,54569446601,$14.54 
ATOVAQUONE 750 MG/5 ML Oral Susp (Mepron),66993006272,$26.82 
atovaquone-proguanil 250 mg-100 mg TAB (Malarone),68462040401,$28.06 
ATRACURIUM 10 mg/mL SOLN (Tracrium (EQV),74737649,$7.94 
atropine 0.4 mg/mL (SCN/PEDS) Injection,247053701,$21.69 
ATROPINE 0.4 mg/mL SOLN,517040125,$17.37 
ATROPINE 1 mg INJ (10 mL Syringe),409491134,$4.16 
ATROPINE 1 mg/mL SOLN,517101025,$27.29 
ATROPINE OPH. 1% SOLN (Isopto Atropine (EQV)),17478021505,$46.23 
ATROPINE/HYOSCYAMINE/PB/SCOPOLAMINE 0.0194 MG-0.1037 MG-16.2 MG-0.0065 MG TAB (Donnatal (EQV)),603241821,$1.00 
ATROPINE/HYOSCYAMINE/PB/SCOPOLAMINE Elixir (Donnatal (EQV)) ELIXIR,66213042216,$8.90 
avelumab 20 mg/mL SOLN,44087353501,$686.82 
avibactam-ceftazidime 0.5 g-2 g Add-Ease (AVYCAZ (EQV)),456270001,"$1,264.50 "
avitene 35x35x1 EACH,53276101008,"$1,629.27 "
azaCITidine 100 mg INJ (Vidaza),59572010201,$189.45 
azaCITidine 25 mg/mL INJ (Vidaza),20000000021,$473.63 
azaTHIOprine 12.5 mg TAB,378100501,$3.15 
azaTHIOprine 25 mg (1/2 of 50 mg) TAB,781105901,$4.87 
azaTHIOprine 50 mg TAB (IMURAN (EQV)),68084022901,$3.04 
azithromycin 1 gm oral packet (Zithromax (EQV)),69305107,$314.28 
Azithromycin 2 mg/ml (PED) Inj,63323039899,$4.50 
azithromycin 200 mg/5 mL Oral Susp (Zithromax (EQV)),50111079222,$4.91 
azithromycin 250 mg TAB (Zithromax (EQV)),68084027801,$6.26 
azithromycin 500 mg INJ (Zithromax (EQV)),63323039810,$55.53 
azithromycin 500 mg TAB (Zithromax (EQV)),68084027921,$25.76 
azithromycin 500 mg/250 mL NS (Zithromax (EQV)),60505607604,$36.17 
azithromycin 600 mg TAB (Zithromax (EQV)),781149731,$91.63 
AZTREONAM 1 gm INJ (Azactam),51479005115,$74.79 
AZTREONAM 1 gm/50 mL AddEase (Azactam),3256016,$143.55 
AZTREONAM 2 gm INJ (Azactam),3257016,$287.10 
AZTREONAM 2 gm/50 mL Premix (Azactam),51479004215,$335.75 
