FIM DESCRIPTION,AMH PRICE
>1 MEV COMPLEX,1793
>1 MEV INTERMEDIATE,1477
>1 MEV SIMPLE,948
11 DEOXYCORTISOL SERUM,61.05
14-3-3 ETA PROTEIN,48.04
17 HYDROXYPREGNENOLONE,200.18
17 KETOSTER W/CREAT 1OF2,50.54
17 KETOSTER W/CREAT 2OF2,20.27
1W  HOSP OBSV SERVICE P/H/1,144
250SOLUTION,230
2LE HOSP OBSV SERVICE P/H,144
2LW HOSP OBSV SERVICE P/H,144
2WE HOSP OBSV SERVICE P/H,144
2WW HOSP OBSV SERVICE P/H,144
3-D RECONSTRUCTION OF TUM,5730
3D RENDER W/INTRP POSTPROCES,400
3D RENDER W/INTRP POSTPROCES,400
3D RENDER W/INTRP POSTPROCES W,400
3D RENDER W/INTRP POSTPROCES WO,400
3D RENDER W/INTRP POSTPROCESS,400
3H HOSP OBSV SERVICE P/HR,144
3HR GLUC-2OF2,7.51
3LE HOSP OBSV SERVICE P/H,144
3LW HOSP OBSV SERVICE P/H,144
3T  HOSP OBSV SERVICE P/H/2,144
3T  HOSP OBSV SERVICE P/H/3,144
3T3 HOSP OBSV SERVICE P/H,144
3WE HOSP OBSV SERVICE P/H,144
3WW HOSP OBSV SERVICE P/H,144
4LM HOSP OBSV SERVICE P/HR,144
4WW HOSP OBSV SERVICE P/H,144
5H HOSP OBSV SERVICE P/HR,144
5LE HOSP OBSV SERVICE P/H,144
5LW HOSP OBSV SERVICE P/H,144
6 MINUTE WALK PERFRM TEST,1000
6H HOSP OBSV SERVICE P/HR,144
7H HOSP OBSV SERVICE P/HR,144
ABBREV <6 YEARS PSM,6118
ABBREV <6 YEARS PSM,3559
ABBREV <6 YEARS PSM,6118
ABBREV <6 YEARS PSM C/CPAP/BIPAP,5100
ABBREV <6 YEARS PSMC/CPAP BIPAP,5100
ABBREV <6 YEARS PSMC/CPAP BIPAP,5100
ABBREV >6 YEARS PSM,6118
ABBREV >6 YEARS PSM,3559
ABBREV >6 YEARS PSM,6118
ABBREV >6 YEARS PSM C/CPAP BIPAP,5100
ABBREV >6 YEARS PSM C/CPAP/BIPAP,5100
ABBREV >6 YEARS PSMC/CPAP BIPAP,5100
ABD OBSTRUCTION W/CHEST,777
ABD PARACENTESIS W IMAGING,1735
ABD PARACENTESIS W/O IMAGE GUIDE,3246
ABD PARACENTESIS WITH IMAGE GUIDE,3246
ABDOMEN - 1 VIEW,282
ABDOMEN 1 VIEW PORTABLE,282
ABDOMEN 2 VIEWS,1012
ABG SCN/PEDS ONLY W/ CALC O2 SAT,892
ABG W/ CALCULATED O2 SAT,892
ABLATE ARRHYTHMIA ADD ON,52078
ABLATE CRYOTHERPY RENAL UNILAT,12883.2
ABLATE L/R AFIB W/PULM VEIN ADDL,52078
ABO 1 0F 2,83.81
ABO TYPE ARC,83.81
ABORT IND W VAG SUP W D&C,6500
ABORTION INCOMPLETE,2830
ABORTION IND W VAG SUPPOSITORY,5000
ABORTION INDUCED W D&C,2830
ABORTION INDUCED W D&E,2830
ABSC DRAIN PERIT/RETROP VAG/RECT,3410
ABSCESS DRAIN PERIT/RETROP PERC,5505
ABSCESS DRAINAGE PERC,5505
ABSCESS IMAGING SPECT,7414
ABSCESS IMAGING-LIMITED,2378
ABSCESS IMAGING-WHOLE BOD,2818
ABUTMENT SUPP PFM,1010
ABUTMENT SUPPORTED PORC/CERAM CRN,1010
ACCUCHECK,3
ACCUCHECK,20
ACCUNAV ICE CATH,7180
ACCUTYPE IL28B,175
ACETAMINOPHEN-SERUM,200
ACETONE KETONE QUAL,18.27
ACETYCHOLINE BLOCKING ABS,48.79
ACETYCHOLINE MODULATING ABS,48.79
ACETYCHOLINESTERASE,33.6
ACETYLCHOLINE RECP AB,48.79
ACID FAST CULT&SMEAR 1OF3,26.02
ACID FAST CULT&SMEAR 2OF3,15.26
ACID FAST SMEAR,15.26
ACROMIOCLAVICULAR JOINTS BIL,774
ACTH,150.63
ACTIN ABS,37.53
ACTIVATED PROTEIN C RESISTANCE,75.6
ACUTE GI BLEED STUDY,3065
ACUTE HEPATITIS PANEL,164.9
ACYLCARNITINES QUAL EA SPECIMEN,48.81
ACYLCARNITINES QUANT EA SPECIMEN,59.23
ADAMTS13 INHIBITOR,40.17
ADAMTS13 INHIBITOR,63
ADAMTS13ACTIVITY W/RFLX TO INHBTR,77.15
ADAPT/EXT  PACING/NEURO LEAD,250
ADD'L SEQUENTIAL-2 LINES,722
ADH,132.62
ADIPONECTIN,48.04
ADJAC TISS TRANSFER 10.1CM TO 30,5194
ADL SAFE TRAIN EA 15 MIN,185
ADL SAFE TRAIN EA 15 MIN MOD 59,185
ADL SAFE TRAIN EA 15 MIN MOD59,185
ADL SAFE TRAIN EA 15MIN,185
ADL SAFE TRAIN EA 15MIN MOD59,185
ADL SAFE TRAIN EA 15MIN MOD59,185
ADL SAFE TRAIN EA 15MIN MOD59,185
ADL SAFE TRAIN EA15 MIN MOD59,185
ADL SAFE TRAIN EACH 15 MIN,185
ADL SAFE TRAIN EACH 15 MN,185
ADL SAFE TRAIN EACH 15 MN,185
ADL SAFE TRAIN EACH 15 MN,185
ADL SAFETY TRAIN EA 15 MIN,185
ADL SAFETY TRAIN EA 15 MIN,185
ADL SAFETY TRAIN EA 15 MIN MOD 59,185
ADL/HOME MGMT TRAIN EA 15 MOD 59,185
ADL/HOME MGMT TRAIN EA 15 MOD59,185
ADL/HOME MGMT TRAIN/15MIN,185
ADL/HOME MGT TRAIN EA 15 MIN,185
ADL/HOME MGT TRAIN EA 15 MIN,185
ADL/HOME MGT TRAIN EA 15 MIN,185
ADL/HOME MGT TRN EA 15MIN MOD 59,185
ADMIN FLU VIRUS VACCINE,45
ADMIN PNEUMOCOCCAL VACCIN,45
ADRENAL IMAGING,3048
ADRENAL TOTAL AUTOANTIBODIES,44.04
ADVNCD CARE PLAN EA ADDL 30 MIN,127
ADVNCD CARE PLAN FIRST 30 MIN,253
AFB CULTURE (3OF3),33.53
AFP  SERUM  OPEN SPINA BIFIDA,63.56
AFP TUMOR MARKER,63.56
AG DETECT NOS IA MULT,38.03
AICD  DUAL CHAMBER,32620
AICD  DUAL CHAMBER,36313
AICD  DUAL CHAMBER,59375
AICD  DUAL CHAMBER/3,36313
AICD  DUAL CHAMBER/4,39750
AICD  OTHER THAN SING/DUAL,34813
AICD  OTHER THAN SING/DUAL,47198
AICD  OTHER THAN SING/DUAL,48750
AICD  OTHER THAN SING/DUAL,49813
AICD  OTHER THAN SING/DUAL,43960
AICD  OTHER THAN SING/DUAL,51250
AICD  OTHER THAN SING/DUAL,52313
AICD  OTHER THAN SING/DUAL,52656
AICD  OTHER THAN SING/DUAL,45838
AICD  SINGLE CHAMBER,35050
AICD  SINGLE CHAMBER,36313
AICD DUAL CHAMBER,35875
AICD SINGLE CHAMBER,30195
AICD SINGLE CHAMBER,32695
AICD SINGLE CHAMBER,33945
ALANINE AMINO (ALT) (SGPT) 9OF10,5
ALBUMIN SERUM,5
ALCOHOL  ETHYL  QN  RANDOM URINE,200
ALCOHOL SERUM,200
ALDOLASE,39.54
ALDOSTERONE SUPINE,161.64
ALDOSTERONE URINE,161.64
ALDOSTERONE/PLASMA RENIN RATIO,161.64
ALK PHOSPHATASE,5
ALK PHOSPHATASE BONE SPECIFIC,5
ALK PHOSPHATASE ISOENZYMES 1OF2,5
ALKP FRACTIONATION,58.8
ALLERGEN SPECIFIC IGE,18.52
ALLERGEN SPECIFIC IGE,18.52
ALLERGEN SPECIFIC IGE EA,18.52
ALLERGENS 10,18.52
ALLERGY NORTHEAST REGIONAL PANEL,18.52
ALLG SPEC IGE RECOMB EA,55.35
ALPHA 1 ANTITRYPSIN PHENOTYPE,54.3
ALPHA 1 ANTITRYPSIN TOTAL,50.54
ALPHA 2-MACROGLOBULIN 5OF6,23.36
ALPHA FETAPROTEIN QUAD SC,63.56
ALPHA FETAPROTEIN QUAD/1,47.54
ALPHA FETAPROTEIN QUAD/2,20.27
ALPHA FETAPROTEIN QUAD/4,92.08
ALPHA FETOPROTEIN MATERNL,63.56
