Description,Price
US FINE NEEDLE ASPIRATION,"$1,216.00 "
ER-I & D ABCESS/SIMPLE,$497.00 
ER-I&D ABCESS COMPLICATED OR MULT,"$1,042.00 "
ER-I & D REMOVAL FB,$636.00 
"ASPIRATION OF ABSCESS, HEMATOMA OR CYST",$624.00 
ER-DEBRIDE/SKIN,$127.00 
"ER-REMOVAL SKIN TAGS, MULTIPLE UP TO 15",$444.00 
ER-NAIL REMOVAL,$162.00 
ER-THERMOLANCE,$78.00 
ER-WOUND 2.5CM OR LESS,$478.00 
ER-WOUND 2.6CM-7.5CM,$462.00 
ER-WOUND 7.6CM-12.5,$696.00 
ER-WOUND 12.6-20CM,$556.00 
ER-REPAIR WOUND 20.1 CM-30.OCM,$633.00 
ER-WOUND 2.5CM OR LESS,$363.00 
ER-WOUND 2.6CM-5.0CM,$413.00 
ER-REPAIR INTERMEDIATE 2.5CM OR LESS,"$1,089.00 "
ER-WOUND 2.6CM-7.5CM,$861.00 
ER-WOUND 7.6CM-12.5CM,$904.00 
ER-LACERATION CLOSURE 12.6CM TO 20 CM,"$1,064.00 "
ER-INTERMEDIATE REPAIR OF WOUND 2.5 OR,$770.00 
"ER-REP WOUND NECK, HANDS FEET 2.5-7.6",$909.00 
ER-WOUND REPAIR REPAIR INTERMEDIATE N/H/,"$1,156.00 "
ER-WOUND 2.5 OR LESS,$636.00 
ER-WOUND 2.6CM-5.0CM,$662.00 
ER-LAYERED CLOSURE OF WOUNDS 7.6 CM-12.,"$1,038.00 "
ER-COMPLEX REPAIR OF TRUNK 2.6-7.5CM,"$2,396.00 "
ER-COMPLEX REPAIR EACH ADD'L 5CM,"$1,810.00 "
ER- COMPLEX REPAIR 2.6 - 7.5 CM,"$1,642.00 "
ER- COMPLEX REPAIR ADD'L 5CM,$618.00 
ER-REPAIR COMPLEX 1.1 CM TO 2.5 CM,"$1,311.00 "
ER-REPAIR COMPLEX 2.6CM TO 7.5 CM,"$1,577.00 "
ER- REP LIDS /NOSE /EARS /LIP 1.1-2.5 CM,"$1,429.00 "
ER-INITIAL TREATMENT 1ST DEGREE BURN,$343.00 
ER-DEBRIDE/DSG SMALL,$174.00 
US BREAST CYST ASPIRATION 19000,"$1,051.00 "
US BREAST CYST ASP ADD'L SITE 19001,$541.00 
INJ FOR MM DUCTOGRAM OR GALACTOGRAM,$668.00 
US BREAST BIOPSY 19083,"$3,802.00 "
US BREAST BIOPSY ADD SITE 19084,"$2,601.00 "
MM BREAST NDL LOC BX LT OR RT,"$2,905.00 "
US BREAST NDL LOC BX LT OR RT 19285,"$2,905.00 "
US BX MUSCLE/SOFT TISSUE 20206,"$1,660.00 "
"HIP,KNEE,SHOULDER,JOINT INJ",$850.00 
"INJ, ASPIR OR ARTHRO OF MAJ JOINT",$848.00 
ER-CLOSED TX TEMPOROMANDIBULAR DISLOCATI,$682.00 
INJ PROC ARTHRO SHOULDER,$633.00 
ER-CLOSED RADIAL HEAD SUBLU,$565.00 
DRAINAGE OF FINGER ABCESS; SIMPLE,$609.00 
ER-MANIP FINGER/CLOSED,$255.00 
SACRAL ILIAC INJ WITH IMAGING,"$1,510.00 "
REDUCTION OF DISLOCATION OF ANKLE,$844.00 
ER-REMOVAL FOREIGN BODY FOOT SUBCUTANEOU,"$2,141.00 "
ER-APP LONG ARM SPLINT,$389.00 
ER-APP SHORT ARM SPLINT,$358.00 
ER-APP FINGER SPLINT,$358.00 
ER-APP LONG LEG SPLINT,$344.00 
ER-APP SHORT LEG SPLINT,$162.00 
ER-F/B REMOVAL NOSE,$396.00 
ER-NASAL ANTERIOR PACK,$265.00 
ER-EPISTAXIS CONTROL POST CAUTERY INT,$552.00 
ER-INTUBATION ENDOTRACH,$884.00 
LUNG BIOPSY,"$2,218.00 "
ER-TUBE THORACOSTOMY,"$1,691.00 "
ER-THORACENTESIS PROC W/O IMAGING GUIDAN,"$1,072.00 "
US THORACENTESIS 32555,"$1,072.00 "
EJ LINE PLACEMENT,$341.00 
DRAWING FEE VP CHARGE,$27.00 
CAPILLARY DRAW FEE,$29.00 
BLOOD ADMINISTRATION > 4 HRS,"$1,798.00 "
BLOOD ADMINISTRATION 2 - 4 HRS,"$1,439.00 "
BLOOD ADMINISTRATION < 2 HOURS,"$1,076.00 "
ER-SUBCLAV LINE PROC 5 YRS OR OLDER,$462.00 
ER-PICC LINE REMOVAL,"$2,461.00 "
INFUSAPORT BLOOD DRAW,$239.00 
CENTRAL LINE/PICC LINE BLOOD DRAW,$156.00 
ARTERIAL PUNCTURE CHARGE,$128.00 
ER-PLACEMENT NEEDLE INTRAOSSEOUS INFU,$476.00 
US LYMPH NODE BIOPSY 38505,"$1,824.00 "
NM SENTINEL NODE INJECTION,"$1,542.00 "
ER-INCISION/DRAINAGE OF ABSCESS/HEMATOMA,$564.00 
ENDO LEVEL 3,"$3,176.00 "
ER-GASTRIC INTUBATION,$315.00 
LIVER BIOPSY,"$2,185.00 "
US PARACENTESIS INITIAL 49083,"$1,714.00 "
CONTRAST INJECTION THROUGH A TUBE,$895.00 
REPLACEMENT OF G TUBE 49450,"$1,677.00 "
GASTRIC TUBE CHECK,$759.00 
INJ FOR CYSTOGRAPHY,$927.00 
INJ FOR VCUG,$834.00 
ER-IRRIGATION/BLADDER,$166.00 
ER-STRAIGHT CATH FOR RESIDUAL URINE,$247.00 
ER-CATHETERIZATION/SMPL,$331.00 
ER-CHANGE OF BLADDER TUBE,$924.00 
ER-BLADDER SCAN URINE MEASUREMENT,$228.00 
CIRCUMCISION,"$5,024.00 "
ER- I & D OF VULVA AND PERINEAL ABCESS,$867.00 
INJ FOR HYSTEROSALPI,$560.00 
AMNIOCENTESIS,$753.00 
NST (NONSTRESS TEST),$577.00 
DELIVERY PROCEDURE,"$2,032.00 "
EXTERNAL CEPHALIC VERSION,"$1,826.00 "
C-SECTION,"$2,830.00 "
US THYROID BIOPSY 60100,"$1,181.00 "
LUMBAR PUNCTURE,"$1,445.00 "
INJ PROC LUMBOSAC MYELO,"$1,161.00 "
EPIDURAL INJ/CERVICAL/THORACIC W/O IMAGI,"$2,149.00 "
EPIDURAL INJ/CERVICAL/THORACIC W/IMAGING,"$2,149.00 "
EPIDURAL INJ/LUMBAR/SACR/CAUD W/O IMAGIN,"$2,018.00 "
EPIDURAL INJ/LUMBAR/SACR/CAUD W IMAGIN,"$2,018.00 "
TRANSFORAMINAL EPID/LUMB/SACR,"$2,314.00 "
FACET INJ/CERVICAL WITH IMAGING,"$1,721.00 "
ER-IRRIGATION/EYE W/FB,$400.00 
ER- FB REMOVAL EYE,$450.00 
ER-REMOVAL FB EXT EYE W/SLIT LAMP,$442.00 
ER-F/B REMOVAL EAR,$237.00 
ER-REMOVAL CERUMEN IRRIG/LAVAGE UNILAT,$259.00 
ER-CERUMEN REMOVE BY INSTRUMENT,$281.00 
MANDIBLE MIN 4 V,$611.00 
FACIAL BONES MIN 3 V,$611.00 
NASAL BONES MIN 3 V,$460.00 
ORBITS MIN 4 V,$584.00 
SINUSES MIN 3 V,$582.00 
SKULL LESS THAN 4 V,$428.00 
SKULL MIN 4 V,$655.00 
MRI TMJ JOINT(S),"$3,465.00 "
NECK SOFT TISSUE,$393.00 
CT HEAD WO,"$2,495.00 "
CT HEAD W CON,"$2,673.00 "
CT HEAD W/WO,"$2,757.00 "
CT ORBITS/IAC WO,"$2,635.00 "
CT ORBITS/IAC W CON,"$2,799.00 "
CT SINUS W/O,"$2,587.00 "
CT FACE/JAW WO,"$2,278.00 "
CT FACE/JAW W CON,"$2,674.00 "
CT NECK TISSUE WO,"$2,626.00 "
CT NECK TISSUE W CON,"$2,841.00 "
CT NECK TISSUE W/WO,"$2,864.00 "
CTA HEAD W/WO,"$3,334.00 "
CTA NECK W/CON,"$3,253.00 "
MRI ORB/FACE OR NECK W/WO,"$4,966.00 "
MRA HEAD WO,"$3,500.00 "
MRA HEAD W CON,"$3,763.00 "
MRA NECK WO,"$3,442.00 "
MRA NECK W/WO,"$4,892.00 "
MRI IAC W/O CONTRAST,"$4,035.00 "
MRI BRAIN WO,"$3,797.00 "
MRI BRAIN W CON,"$4,768.00 "
MRI IAC W/WO CONTRAST,"$5,727.00 "
MRI BRAIN W/WO,"$5,412.00 "
MRI SELLA W/WO CONTRAST,"$5,333.00 "
CHEST 1V PORT,$386.00 
CHEST 2 V,$435.00 
CHEST 2V WITH LORDOTIC,$444.00 
CHEST 2 V WITH OBLS,$442.00 
RIBS UNI,$484.00 
RIBS W/PA CHEST MIN 3V,$593.00 
RIBS BILAT 3V,$603.00 
RIBS BILAT/PA CHEST MIN 4V,$688.00 
STERNUM MIN 2V,$462.00 
CT CHEST/ABD WO,"$2,903.00 "
CT CHEST/ABD/PELVIS W/O,"$2,674.00 "
CT CHEST WO,"$2,226.00 "
CT CHEST/ABD W/CONTRAST,"$3,127.00 "
CT CHEST W CON,"$2,637.00 "
CT CHEST/ABD/PELVIS W,"$2,637.00 "
CT CHEST W/WO,"$3,630.00 "
CTA CHEST FOR PE,"$3,955.00 "
SPINE 1 VIEW,$375.00 
CERVICAL SPINE 2 0R 3 VIEWS,$514.00 
CERV SPINE ROUT 4 OR 5 VIEWS,$715.00 
THORACIC SPINE 2 V,$506.00 
THORACIC SPINE 3 V,$570.00 
THORACOLUMBAR 2V,$492.00 
LUMBAR SPINE,$556.00 
LUMBAR MIN 4V,$778.00 
LUMBAR SPINE W/FL&EXT,$861.00 
CT CERV SP WO,"$2,614.00 "
CT CERV SP W CON,"$3,373.00 "
CT THORACIC SP WO,"$2,892.00 "
CT THORACIC SP W CON,"$1,330.00 "
CT LUMBAR WO,"$2,581.00 "
CT LUMBAR W CON,"$3,576.00 "
MRI CERV SPIN WO,"$4,060.00 "
MRI THORACI SP WO,"$4,071.00 "
MRI LUMBAR SPINE WO,"$4,064.00 "
MRI CERV SPIN W/WO,"$5,867.00 "
MRI THORACIC W/WO,"$5,796.00 "
MRI LUMBAR W/WO,"$4,645.00 "
PELVIS 1 OR 2 VIEWS,$397.00 
PELVIS MIN 3V,$492.00 
CT PELVIS WO,"$2,694.00 "
CT PELVIS W CON,"$3,234.00 "
CT PELVIS W/WO,"$3,845.00 "
MRI PELVIS WO,"$3,833.00 "
MRI PELVIS W/WO,"$4,455.00 "
MRA PELVIS W W/O,"$2,084.00 "
SACRUM/COCCYX MIN 2V,$469.00 
MYELOGRAM LUMBAR,$998.00 
CLAVICLE,$393.00 
SCAPULA,$421.00 
SHOULDER 1 V,$342.00 
SHOULDER COMPLETE MIN 2V,$463.00 
ARTHROGRAM SHOULDER,"$1,133.00 "
A/C JOINTS W & W/O WEIGHTS,$454.00 
HUMERUS 2V,$416.00 
ELBOW 2 V,$366.00 
ELBOW MIN 3V,$446.00 
FOREARM 2 V,$398.00 
INFANT UP EXT LT MIN 2V (5WKS TO 12M),$197.00 
WRIST 2 V,$343.00 
WRIST MIN 3V,$428.00 
HAND 2 V,$345.00 
HAND MIN 3V,$435.00 
FINGER 1 DIG,$328.00 
CT UP EXT WO,"$2,436.00 "
CT UP EXT W CON,"$2,727.00 "
"MRI UP EXT OTHER THAN JT, WO","$3,641.00 "
"MRI UP EXT OTHER THAN JT, W/WO","$4,683.00 "
MRI UP EXT JT WO,"$3,712.00 "
MRI UP EXT JT W CON,"$3,763.00 "
HIP 1 V,$319.00 
HIP 2 VWS WITH PELVIS,$714.00 
HIP 2 V,$457.00 
HIPS BILAT & PELVIS 2V,$620.00 
HIPS BILAT W PELVIS MIN 5 VWS,"$1,032.00 "
FEMUR 1 V,$419.00 
FEMUR 2 V,$445.00 
KNEE 1 OR 2 V,$386.00 
KNEE 3 V,$482.00 
