Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3,Missing
20018.0,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559.0,BETHEL,9075436300.0,Acute Care Hospitals,Tribal,True,True,3,This hospital's star rating only includes data reported on inpatient services.,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"PO BOX 287 BETHEL, AK",https://www.ykhc.org/,https://www.ykhc.org/story/about-ykhc/,https://www.ahd.com/free_profile/020018/Yukon-Kuskokwim_Delta_Regional_Hospital/Bethel/Alaska/,True
30071.0,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504.0,APACHE,9287298000.0,Acute Care Hospitals,Government - Federal,True,True,1,This hospital's star rating only includes data reported on inpatient services.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Below the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"PO BOX 649 FORT DEFIANCE, AZ",http://www.fdihb.org/,http://www.fdihb.org/tsehootsooi,https://fortdefianceindianhospital.appone.com/,True
30073.0,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045.0,COCONINO,9282832501.0,Acute Care Hospitals,Voluntary non-profit - Other,False,True,2,This hospital's star rating only includes data reported on inpatient services.,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"PO BOX 600 TUBA CITY, AZ",http://tchealth.org/home.html,http://tchealth.org/,http://tchealth.org/contact.html,True
30077.0,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542.0,GILA,9284751200.0,Acute Care Hospitals,Government - Federal,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"103 MEDICINE WAY ROAD PERIDOT, AZ",https://www.scahealth.org/,https://www.scahealth.org/careers/job-opportunities/,https://www.scahealth.org/contact/contact-us/,True
40018.0,SPARKS MEDICAL CENTER - VAN BUREN,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956.0,CRAWFORD,4794743401.0,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"EAST MAIN AND SOUTH 20TH STREET VAN BUREN, AR",https://health.usnews.com/best-hospitals/area/ar/summit-medical-center-6710618/contact,https://www.baptisthealthfortsmithvanburen.com/,https://www.mapquest.com/us/arkansas/sparks-med-center-van-buren-373541241,True
50280.0,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001.0,SHASTA,5302256102.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"2175 ROSALINE AVE, CLAIRMONT HGTS REDDING, CA",https://www.dignityhealth.org/north-state/locations/mercy-redding,https://www.dignityhealth.org/north-state/locations/mercy-redding/patients-and-visitors/phone-directory,https://www.yelp.com/biz/mercy-medical-center-redding-redding,True
50684.0,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,SUN CITY,CA,92585.0,RIVERSIDE,9516798888.0,Acute Care Hospitals,Physician,False,True,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"28400 MCCALL B0ULEVARD SUN CITY, CA",http://www.menifeevalleymedicalcenter.com/,http://www.menifeevalleymedicalcenter.com/pages/contact-us,https://www.yelp.com/biz/menifee-valley-medical-center-menifee,True
50717.0,LAC RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242.0,LOS ANGELES,5624017022.0,Acute Care Hospitals,Government - Local,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"7601 EAST IMPERIAL HIGHWAY DOWNEY, CA",http://dhs.lacounty.gov/wps/portal/dhs/rancho,https://www.yelp.com/biz/rancho-los-amigos-national-rehabilitation-center-downey-4,https://en.wikipedia.org/wiki/Rancho_Los_Amigos_National_Rehabilitation_Center,True
53302.0,CHILDREN'S HOSP OF LOS ANGELES,4650 SUNSET BLVD,LOS ANGELES,CA,90027.0,LOS ANGELES,3236692164.0,Childrens,Voluntary non-profit - Private,True,True,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,"4650 SUNSET BLVD LOS ANGELES, CA",https://www.chla.org/,https://www.chla.org/contact-us,https://www.chla.org/locations-and-directions,True
70008.0,JOHNSON MEMORIAL HOSPITAL STAFFORD SPRINGS CT,201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT,6076.0,TOLLAND,8606844251.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"201 CHESTNUT HILL ROAD STAFFORD SPRINGS, CT",http://www.jmmc.com/stafford,http://www.jmmc.com/careers-1133,http://www.jmmc.com/contact-us-1210,True
100054.0,TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,32578.0,OKALOOSA,8506784131.0,Acute Care Hospitals,Proprietary,True,True,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,"2190 HWY 85 N NICEVILLE, FL",https://tchospital.com/,https://tchospital.com/careers/,https://tchospital.com/about/phone-directory/,True
100204.0,NORTH FLORIDA REGIONAL MEDICAL CENTER,6500 NEWBERRY RD,GAINESVILLE,FL,32605.0,ALACHUA,3523334100.0,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,"6500 NEWBERRY RD GAINESVILLE, FL",https://nfrmc.com/,https://www.yelp.com/biz/north-florida-regional-medical-center-gainesville-3,https://www.facebook.com/NorthFloridaRegional/,True
110030.0,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120.0,BARTOW,7703878182.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"960 JOE FRANK HARRIS PARKWAY CARTERSVILLE, GA",https://cartersvillemedical.com/,https://cartersvillemedical.com/careers/search.dot,https://cartersvillemedical.com/about/department-directory/,True
110038.0,JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE & MIMOSA DRIVE,THOMASVILLE,GA,31792.0,THOMAS,2292282880.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,"915 GORDON AVENUE &amp; MIMOSA DRIVE THOMASVILLE, GA",https://archbold.org/,https://archbold.org/about,https://archbold.org/about/contact,True
140002.0,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002.0,MADISON,6184637300.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,"ONE MEMORIAL DRIVE ALTON, IL",https://www.altonmemorialhospital.org/,https://www.altonmemorialhospital.org/About-Us/Phone-Directory,https://www.altonmemorialhospital.org/For-Providers/Office-Managers-Council/Contact-Information,True
140018.0,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608.0,COOK,7735422000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,"15TH STREET AT CALIFORNIA CHICAGO, IL",http://www.sinai.org/,http://www.sinai.org/content/mount-sinai-hospital-0,http://www.sinai.org/content/mount-sinai-hospital,True
170166.0,MORTON COUNTY HOSPITAL,445 N HILLTOP,ELKHART,KS,67950.0,MORTON,6206972141.0,Acute Care Hospitals,Government - Local,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"445 N HILLTOP ELKHART, KS",http://www.mchswecare.com/,http://www.elkhart.com/,https://www.yelp.com/biz/morton-county-hospital-elkhart,True
180010.0,SAINT JOSEPH HOSPITAL LEXINGTON KY,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504.0,FAYETTE,8593131000.0,Acute Care Hospitals,Voluntary non-profit - Church,True,True,1,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"ONE SAINT JOSEPH DRIVE LEXINGTON, KY",https://www.mapquest.com/us/kentucky/saint-joseph-hospital-373286821,http://www.kentuckyonehealth.org/saint-joseph-cardiology-associates-cath-lab-how-to-find-us,https://www.chisaintjosephhealth.org/saint-joseph-hospital-lexington,True
200033.0,EASTERN MAINE MEDICAL CENTER,PO BOX 404,BANGOR,ME,4401.0,PENOBSCOT,2079737000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"PO BOX 404 BANGOR, ME",https://northernlighthealth.org/Eastern-Maine-Medical-Center,https://northernlighthealth.org/Locations/Eastern-Maine-Medical-Center/Locations/Anesthesiology,https://www.ahd.com/free_profile/200033/Eastern_Maine_Medical_Center/Bangor/Maine/,True
190266.0,THE SPINE HOSPITAL OF LOUISIANA,"10105 PARK ROW CIRCLE, SUITE 250",BATON ROUGE,LA,70810.0,E. BATON ROUGE,2257639900.0,Acute Care Hospitals,Voluntary non-profit - Private,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,"10105 PARK ROW CIRCLE, SUITE 250 BATON ROUGE, LA",http://www.theneuromedicalcenter.com/spine-hospital/,http://www.theneuromedicalcenter.com/administration-spine-hospital/,http://www.theneuromedicalcenter.com/contact-spine/,True
